District,Crime Rate,Urban share of population (% of population),Unemployment (% of total employment),Poverty Rate (%),Household members per room,"Youth literacy, 15-24 years old (% of population aged 15-24)",Households' mobile phone ownership (% of population),"Accessibility, health (% of population within 15 minutes to clinic/hospital)",Household size,Child labor (% of children aged 10-17)
Sahiwal,8532,16.16,24.28,28,3.43,75.42,90.05,82.07,5.77,34.02
Sargodha,12767,27.54,9.45,24,3.15,82.83,90.58,61.39,5.87,12.13
Sheikhupura,13221,38.23,11.5,25,3.49,80.48,93.06,56.18,6.21,21.54
Sialkot,12605,25.08,12.64,18,2.94,85.59,95.05,49.5,6.15,22
Toba Tek Singh,5118,18.57,25.8,24,3.27,81.26,94.47,82.87,6.48,25.13
Vehari,9835,16.81,22.77,37,3.8,65.7,86.65,32.18,6.35,35.92
Badin,579,17.49,23.4,50,4.7,45.54,74.04,24.12,6.17,36.26
Dadu,1219,24.14,17.15,44,4.72,76.13,92.88,21.94,6.78,14.91
Ghotki,556,17.5,32.09,51,5.25,55.58,90.79,25.79,7.62,34.05
Hyderabad,1429,85.78,10.69,33,4,77.21,90.8,79.53,6.3,27.39
Jacobabad,511,21.36,30.95,49,5.13,48.25,94.55,44.27,7.14,36.47
Jamshoro,659,19.99,17.54,46,4.76,54.33,84.93,35.16,6.69,19.17
Karachi City,41506,96.28,5.82,22,2.69,88.6,96.62,78.47,5.15,9.61
Kashmore,563,16.47,36.24,52,5.07,48.95,92.36,29.74,7.56,37.79
Khairpur,988,28.15,26.53,48,4.9,58.05,87.47,38.02,7.28,25.19
Larkana,789,43.86,15.1,47,5.07,62.39,88.85,61.49,8.12,19.08
Matiari,363,21.91,13.16,43,4.52,59.29,81.93,33.27,6.19,37.11
Mirpur Khas,540,27.37,32.3,43,3.82,55.33,88.61,30.45,5.92,32.67
Naushahro Feroze,806,17.76,27.47,46,5.1,60.03,84.57,23,7.02,26.08
Qambar Shahdadkot,586,16.39,27.3,52,5.27,49.38,91.11,43.62,8.13,34.88
Sanghar,895,29.34,27.87,44,4.53,65.17,91.98,45.65,6.7,33.65
Shaheed Benazirabad,899,30.9,22.2,45,4.49,58.35,90.16,32.31,6.47,35.75
Shikarpur,847,22.8,37.29,51,5.23,58,87.51,41.38,7.52,37.54
Sujawal,640,13.81,9.99,47,4.33,42.8,66.84,29.97,5.17,24.89
Sukkur,809,46.54,23.45,43,4.62,61.16,92.71,59.5,7.21,25.48
Tando Allah Yar,262,28.23,14.99,47,5.05,55.24,81.96,61.78,6.67,35.64
Tando Muhammad Khan,275,18.71,18.22,49,4.83,48.14,79.73,46.93,6.52,34.18
Tharparkar,163,5.97,10.57,45,3.29,54.19,78.86,35.77,6.02,20.6
Thatta,702,13.81,9.99,47,4.33,42.8,66.84,29.97,5.17,24.89
Umerkot,271,17.05,22.86,47,3.86,48.77,78.49,24.57,6.17,26.3
